date,btc_open,btc_high,btc_low,btc_close,btc_volume,dvol_open,dvol_high,dvol_low,dvol_close,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,btc_log_return,spx_log_return,btc_rv_7d,spx_rv_7d,btc_rv_14d,spx_rv_14d,btc_rv_30d,spx_rv_30d
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,64.17,68.04,61.79,62.7,4759.93994140625,4790.7998046875,4756.2001953125,4783.4501953125,3498680000,12.859999656677246,12.949999809265137,12.670000076293944,12.6899995803833,0.01172860796383382,0.005649980650495912,0.6580807532642151,0.11976593663179909,0.5277060562506929,0.11620543453529454,0.5166670187925759,0.09648046999015611
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,62.7,63.25,57.3,57.3,4792.1298828125,4798.5,4739.580078125,4780.240234375,3759890000,12.640000343322754,13.3100004196167,12.350000381469728,12.4399995803833,-0.006771062230729273,-0.0006712808369611647,0.5563356963985153,0.11264007377866045,0.517260516634339,0.09418466981555369,0.5177266621368722,0.09670072697383995
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,57.3,58.36,54.8,57.42,4791.18017578125,4802.39990234375,4768.97998046875,4783.830078125,3486340000,12.65999984741211,13.079999923706056,12.470000267028809,12.699999809265137,-0.0798528754667809,0.0007506937530339595,0.6975504313763023,0.09325505543563316,0.6283357329876761,0.08470623975303454,0.5753797423811802,0.0964355813421438
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,56.2,56.5,54.0,55.16,4772.35009765625,4782.33984375,4747.1201171875,4765.97998046875,4260550000,14.119999885559082,14.350000381469728,13.520000457763672,13.84000015258789,0.008268603643684043,-0.0037383190523568345,0.6696029309128717,0.09406548525565708,0.6295795679913262,0.0864215349461852,0.5750485411588518,0.09746058648991698
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,55.16,55.19,50.79,50.79,4739.1298828125,4744.22998046875,4714.81982421875,4739.2099609375,3928600000,14.59000015258789,15.399999618530272,14.380000114440918,14.789999961853027,-0.008423584725432613,-0.005632731271107821,0.6697958969129028,0.105691627699751,0.613259505242851,0.08757073661768597,0.5728041956258489,0.09859345114799191
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,50.79,50.79,46.81,48.31,4760.10009765625,4785.7900390625,4740.56982421875,4780.93994140625,4019000000,14.850000381469728,14.890000343322754,13.890000343322754,14.130000114440918,-0.03445139745815894,0.008766720726243148,0.49727612546372646,0.08088806331420074,0.6219789710613277,0.0958962980371897,0.5317395601882113,0.09909559016284447
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,48.3,48.7,45.9,48.04,4796.27978515625,4842.06982421875,4785.8701171875,4839.81005859375,4287200000,13.800000190734863,14.579999923706056,13.279999732971191,13.300000190734863,0.007990013891329613,0.012238308232548512,0.5216036455463517,0.1049402198374329,0.618881438961813,0.10911539673824718,0.5119594282836608,0.10361449140765973
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,47.82,49.04,47.24,48.98,4853.419921875,4868.41015625,4844.0498046875,4850.43017578125,4297610000,13.770000457763672,13.84000015258789,13.170000076293944,13.1899995803833,-0.05149693559847043,0.0021919211872316853,0.5259958894752353,0.10257815328122086,0.6536015920550899,0.10791604399971258,0.5316866269773453,0.10212111597454848
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,48.98,53.2,46.88,49.59,4856.7998046875,4866.47998046875,4844.3701171875,4864.60009765625,3912800000,13.199999809265137,13.289999961853027,12.529999732971191,12.550000190734863,0.008294955472882228,0.002917115340764486,0.5532244157985882,0.10091937574473853,0.5736351611780064,0.10336890837912703,0.5321833144546024,0.1006695586162157
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,49.59,50.23,47.19,47.54,4888.56005859375,4903.68017578125,4865.93994140625,4868.5498046875,4330030000,12.65999984741211,13.18000030517578,12.40999984741211,13.140000343322754,0.004683034141144241,0.0008115989762168653,0.38486271424194446,0.10087571075412094,0.5463978363094968,0.09333521817052176,0.528134710157463,0.1005181508338536
